CULTURE;LOCID;ORDER;BGD;BGD_GEN_AO;BGD_GEN_CS;BGD_GEN_AO_TB;BGD_GEN_CS_TB;DIS_BGD;BGD_GEN_TB;DIS_BGD_GEN_TB;BGD_SPEC_AO;BGD_SPEC_CS;;;;;;;;;;;;;;;;;;;;;
Cachoeira;CA073/DG159;1;evil  ;miscellaneous;morality;miscellaneous;morality;1;morality;0;evil;mistreating others;;;;;;;;;;;;;;;;;;;;;
Cachoeira;CA016/DG224;1;evil  ;miscellaneous;morality;miscellaneous;morality;1;morality;0;evil;mistreating others;;;;;;;;;;;;;;;;;;;;;
Cachoeira;CA013/DG206;3;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Turkana;18;3;Dislikes committing suicide;morality;specific;morality;specific;1;specific;0;suicide;suicide;;;;;;;;;;;;;;;;;;;;;
Turkana;198;1;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Sursurunga;252;1;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Mauritius;K2356;1;those who steal;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Samburu;2980104;5;cursing;etiquette;etiquette;etiquette;morality;1;etiquette;0;swearing;swearing;;;;;;;;;;;;;;;;;;;;;
Turkana;193;1;people who abuse others ;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;327;5;dislike commitment of adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;327;2;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;244;3;Being enviours;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;250;4;dislike arrogancy ;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;76;2;be-witching ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;98;2;killing innocent person ;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;121;2;be-witching people;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;188;5;dislike people to disrespect others;morality;morality;morality;morality;0;morality;0;disrespect;respect;;;;;;;;;;;;;;;;;;;;;
Turkana;239;2;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;267;1;disobey parents;morality;morality;morality;morality;0;morality;0;disrespecting family;respect.n;;;;;;;;;;;;;;;;;;;;;
Turkana;109;3;Dislikes witch craft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;311;1;Dislike greedness;morality;virtue;virtue;virtue;0;virtue;0;greed;greed;;;;;;;;;;;;;;;;;;;;;
