SITE;Original ID;CID;RAG.TREATMENT;RAG.ORDER;INGFIRST;RAG.LOCAL1;RAG.DISTANT1;RAG.SELF2;RAG.DISTANT2;RAG.ORDER2;INGFIRST2;RAG.DISTANT3;RAG.OUTGROUP3;RAG.SELF4;RAG.OUTGROUP4;GA1;GA2;GA3;HONEST13;HONEST;DG.TREATMENT;DG.ORDER;ORDCODE;DIDRAG;DG.LOCAL1;DG.DISTANT1;DG.SELF2;DG.DISTANT2;DG.DISTANT3;DG.OUTGROUP3;DG.SELF4;DG.OUTGROUP4;GA1;GA2;GA3;DG.HONEST;SEX;AGE13;AGE;FAMILY;CHILDREN;FORMALED;HOUSEHOLD;MAT1;MAT2;MAT3;MAT4;BGPUNISH;BGSTLIMP;BGLIEIMP;BGMURDIMP;BGFEEL;BGSEE;BGREWARD;BGDIE;LGPUNISH;LGSTEALIMP;LGLIEIMP;LGMURDIMP;LGFEEL;LGSEE;LGREWARD;LGDIE;POLEVAL;CORELEMO;INGREMO;OUTGREMO;CORELSIM;OUTSIM
Cachoeira;CA001;1000;3;21;0;15;15;19;11;NA;NA;NA;NA;NA;NA;Of a friend I liked and was fake with me;An honest game;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;19;19;1;0;4;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA002;1001;3;12;1;15;15;14;16;NA;NA;NA;NA;NA;NA;No;I don?t know;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24;24;1;0;NA;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA003;1002;3;12;1;15;15;15;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;66;66;2;8;NA;2;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA004;1003;3;12;1;18;12;18;12;NA;NA;NA;NA;NA;NA;No;About our nature;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;18;18;1;0;11;3;0;0;0;0;0;0;0;0;1;1;4;0;1;0;0;0;1;1;2;0;1;NA;2;NA;1;NA
Cachoeira;CA005;1004;3;12;1;16;14;18;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;21;21;2;1;2;3;0;0;0;1;1;3;3;4;1;1;4;1;1;3;3;4;1;1;4;0;0;NA;NA;NA;NA;NA
Cachoeira;CA006;1005;3;12;1;8;22;11;19;NA;NA;NA;NA;NA;NA;Nothing;An amusement;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;31;31;1;1;NA;15;1;1;1;1;1;3;2;4;1;1;3;0;1;3;2;3;1;1;4;1;NA;4;5;1;1;NA
Cachoeira;CA007;1006;3;12;1;17;13;14;16;NA;NA;NA;NA;NA;NA;It was the beginning of my first job;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;32;32;1;0;6;3;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA008;1007;3;12;1;18;12;16;14;NA;NA;NA;NA;NA;NA;Lack of employment;Financial conditions;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;46;46;4;2;12;2;1;1;1;1;1;3;2;3;1;1;4;1;1;NA;4;4;1;1;3;0;NA;3;4;NA;NA;NA
Cachoeira;CA010;1008;1;21;0;15;15;16;14;NA;NA;NA;NA;NA;NA;That sometimes we want something for ourselves and we don?t think of the people around us;About if we really do think about our fellow men  ;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;19;19;1;0;NA;4;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA011;1009;1;21;0;18;12;22;8;NA;NA;NA;NA;NA;NA;No;About our life;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;40;40;1;3;20;10;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA012;1010;1;12;1;19;11;9;21;NA;NA;NA;NA;NA;NA;Yes because the game teaches to share and I always in my day to day share what I have;About what you?re able to achieve;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;23;23;5;2;8;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA013/DG206;1011;1;21;0;11;19;17;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;4;4123;4;1;10;0;10;0;0;10;10;0;nothing;don?t know;nothing;0;1;25;25;1;2;9;3;1;1;1;1;1;2;2;2;1;1;3;0;0;2;1;1;0;0;0;0;-2;1;3;1;-1;NA
Cachoeira;CA014/DG205;1012;1;12;1;15;15;18;12;NA;NA;NA;NA;NA;NA;The lack of money;Equality;NA;0;0;4;4123;4;1;8;2;7;3;5;5;7;3;yes, sharing;religion, the fact of being human   ;nothing;0;0;23;23;1;1;NA;10;1;1;1;1;1;0;0;2;1;1;4;1;0;1;1;1;1;1;4;0;0;4;5;2;1;NA
