"NEW.ID","CID","GROUP","BGD.MORALITY","BGD.TOTAL","BGD.SPECCODE","BGD.MORPROP","BGD.MORVIRTPROP","BGD.SPECPROP","RAG.ORDER","RAG.CHECK","DG.ORDER","DG.CHECK","CHILDREN","MAT","DIEPUN","OMNI.BG","MORINDEX","TYPE","SELF","RAG","Y"
1,1719,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,1,NA,"RAG.LOCAL",0,1,NA
1,1719,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,1,NA,"RAG.SELF",1,1,NA
1,1719,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,1,NA,"DG.LOCAL",0,0,1
1,1719,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,1,NA,"DG.SELF",1,0,1
2,1920,"Lovu Fiji",3,3,1,1,1,0.333333333333333,0,0,0,NA,2,1,1,1,3.66666666666667,"RAG.LOCAL",0,1,17
2,1920,"Lovu Fiji",3,3,1,1,1,0.333333333333333,0,0,0,NA,2,1,1,1,3.66666666666667,"RAG.SELF",1,1,11
2,1920,"Lovu Fiji",3,3,1,1,1,0.333333333333333,0,0,0,NA,2,1,1,1,3.66666666666667,"DG.LOCAL",0,0,NA
2,1920,"Lovu Fiji",3,3,1,1,1,0.333333333333333,0,0,0,NA,2,1,1,1,3.66666666666667,"DG.SELF",1,0,NA
3,291,"Sursurunga",2,5,1,0.4,0.6,0.2,1,0,0,NA,3,1,1,1,NA,"RAG.LOCAL",0,1,17
3,291,"Sursurunga",2,5,1,0.4,0.6,0.2,1,0,0,NA,3,1,1,1,NA,"RAG.SELF",1,1,17
3,291,"Sursurunga",2,5,1,0.4,0.6,0.2,1,0,0,NA,3,1,1,1,NA,"DG.LOCAL",0,0,NA
3,291,"Sursurunga",2,5,1,0.4,0.6,0.2,1,0,0,NA,3,1,1,1,NA,"DG.SELF",1,0,NA
4,454,"Turkana",4,5,2,0.8,1,0.4,1,0,0,NA,0,0,1,1,2.33333333333333,"RAG.LOCAL",0,1,15
4,454,"Turkana",4,5,2,0.8,1,0.4,1,0,0,NA,0,0,1,1,2.33333333333333,"RAG.SELF",1,1,13
4,454,"Turkana",4,5,2,0.8,1,0.4,1,0,0,NA,0,0,1,1,2.33333333333333,"DG.LOCAL",0,0,NA
4,454,"Turkana",4,5,2,0.8,1,0.4,1,0,0,NA,0,0,1,1,2.33333333333333,"DG.SELF",1,0,NA
5,1721,"Hadza",NA,NA,NA,NA,NA,NA,1,NA,0,NA,4,1,NA,NA,NA,"RAG.LOCAL",0,1,12
5,1721,"Hadza",NA,NA,NA,NA,NA,NA,1,NA,0,NA,4,1,NA,NA,NA,"RAG.SELF",1,1,15
5,1721,"Hadza",NA,NA,NA,NA,NA,NA,1,NA,0,NA,4,1,NA,NA,NA,"DG.LOCAL",0,0,0
5,1721,"Hadza",NA,NA,NA,NA,NA,NA,1,NA,0,NA,4,1,NA,NA,NA,"DG.SELF",1,0,0
6,1928,"Lovu Fiji",2,3,3,0.666666666666667,1,1,1,0,0,NA,3,1,0.5,1,2,"RAG.LOCAL",0,1,16
6,1928,"Lovu Fiji",2,3,3,0.666666666666667,1,1,1,0,0,NA,3,1,0.5,1,2,"RAG.SELF",1,1,12
6,1928,"Lovu Fiji",2,3,3,0.666666666666667,1,1,1,0,0,NA,3,1,0.5,1,2,"DG.LOCAL",0,0,NA
6,1928,"Lovu Fiji",2,3,3,0.666666666666667,1,1,1,0,0,NA,3,1,0.5,1,2,"DG.SELF",1,0,NA
7,298,"Sursurunga",3,5,1,0.6,1,0.2,0,NA,0,0,0,1,1,1,2,"RAG.LOCAL",0,1,NA
7,298,"Sursurunga",3,5,1,0.6,1,0.2,0,NA,0,0,0,1,1,1,2,"RAG.SELF",1,1,NA
7,298,"Sursurunga",3,5,1,0.6,1,0.2,0,NA,0,0,0,1,1,1,2,"DG.LOCAL",0,0,5
7,298,"Sursurunga",3,5,1,0.6,1,0.2,0,NA,0,0,0,1,1,1,2,"DG.SELF",1,0,5
8,460,"Turkana",2,5,2,0.4,0.8,0.4,0,0,0,NA,3,0,1,1,2.33333333333333,"RAG.LOCAL",0,1,18
8,460,"Turkana",2,5,2,0.4,0.8,0.4,0,0,0,NA,3,0,1,1,2.33333333333333,"RAG.SELF",1,1,11
8,460,"Turkana",2,5,2,0.4,0.8,0.4,0,0,0,NA,3,0,1,1,2.33333333333333,"DG.LOCAL",0,0,NA
8,460,"Turkana",2,5,2,0.4,0.8,0.4,0,0,0,NA,3,0,1,1,2.33333333333333,"DG.SELF",1,0,NA
9,363,"Sursurunga",2,5,2,0.4,1,0.4,0,NA,0,0,0,0,1,1,2,"RAG.LOCAL",0,1,NA
9,363,"Sursurunga",2,5,2,0.4,1,0.4,0,NA,0,0,0,0,1,1,2,"RAG.SELF",1,1,NA
9,363,"Sursurunga",2,5,2,0.4,1,0.4,0,NA,0,0,0,0,1,1,2,"DG.LOCAL",0,0,6
9,363,"Sursurunga",2,5,2,0.4,1,0.4,0,NA,0,0,0,0,1,1,2,"DG.SELF",1,0,3
10,528,"Turkana",5,5,2,1,1,0.4,0,0,0,NA,0,0,1,1,4,"RAG.LOCAL",0,1,8
10,528,"Turkana",5,5,2,1,1,0.4,0,0,0,NA,0,0,1,1,4,"RAG.SELF",1,1,7
10,528,"Turkana",5,5,2,1,1,0.4,0,0,0,NA,0,0,1,1,4,"DG.LOCAL",0,0,NA
